ranges_rent_id,lettype,la,beds,soft_min,soft_max,hard_min,hard_max
1,1,E07000223,1,60.13,139.33,25.84,1000
327,1,E07000223,2,74.68,165.75,25.84,1000
653,1,E07000223,3,85.34,182.58,18.64,2000
979,1,E07000223,4,94.09,201.8,25.84,1000
2609,2,E07000223,0,65.34,303.51,25.84,1000
1305,3,E07000223,1,54.32,130.92,25.84,1000
1631,3,E07000223,2,65.95,146.54,25.84,1000
1957,3,E07000223,3,71.76,169.36,25.84,1000
2283,3,E07000223,4,76.62,209,18.64,2000
2935,4,E07000223,0,51.19,221.24,25.84,1000
3983,5,E07000223,1,60.13,141.43,25.84,1000
4598,5,E07000223,2,74.68,196.63,25.84,2000
5250,5,E07000223,3,85.34,244.9,25.84,1000
5935,5,E07000223,4,94.09,462.24,25.84,2000
3261,6,E07000223,0,65.34,533.32,25.84,2000
4050,7,E07000223,1,54.32,141.43,25.84,1000
4745,7,E07000223,2,65.95,196.63,25.84,1000
5350,7,E07000223,3,71.76,244.9,25.84,1000
6039,7,E07000223,4,76.62,462.24,25.84,1000
3587,8,E07000223,0,51.19,533.32,25.84,1000
6521,9,E07000223,1,60.13,203.8,25.84,1000
6847,9,E07000223,2,74.68,283.35,25.84,1000
7173,9,E07000223,3,85.34,352.9,18.64,2000
7499,9,E07000223,4,94.09,666.1,25.84,1000
7825,10,E07000223,0,65.34,768.51,25.84,1000
8251,11,E07000223,1,60.13,203.8,25.84,2000
8252,11,E07000223,2,74.68,283.35,25.84,2000
8253,11,E07000223,3,85.34,352.9,25.84,2000
8254,11,E07000223,4,94.09,666.1,25.84,2000
8255,12,E07000223,0,65.34,768.51,18.64,2000
3,1,E07000032,1,54.32,392.63,25.84,1000
329,1,E07000032,2,64.98,392.63,25.84,1000
655,1,E07000032,3,71.76,186.93,25.84,1000
981,1,E07000032,4,79.53,186.93,25.84,1000
2611,2,E07000032,0,54.46,231.91,25.84,1000
1307,3,E07000032,1,48.48,231.91,18.64,2000
1633,3,E07000032,2,55.28,278.68,25.84,1000
1959,3,E07000032,3,61.09,278.68,25.84,1000
2285,3,E07000032,4,66.92,349.63,25.84,2000
2937,4,E07000032,0,52.28,349.63,18.64,2000
4311,5,E07000032,1,54.32,145.83,25.84,2000
5007,5,E07000032,2,64.98,167.37,18.64,2000
5650,5,E07000032,3,71.76,187.23,25.84,2000
6225,5,E07000032,4,79.53,208.77,18.64,2000
3263,6,E07000032,0,54.46,134.18,25.84,2000
4411,7,E07000032,1,48.48,147.52,25.84,1000
5147,7,E07000032,2,55.28,164.05,25.84,1000
5808,7,E07000032,3,61.09,185.59,25.84,1000
6469,7,E07000032,4,66.92,374.02,25.84,1000
3589,8,E07000032,0,52.28,733.15,25.84,1000
6523,9,E07000032,1,54.32,150.78,25.84,1000
